Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS
Giannis Antetokounmpo,24,21,34.1,27.6,13.2,6.0,1.5,1.3,.578,.115,.692,3.7
Kawhi Leonard,27,18,34.3,25.5,8.6,3.1,1.7,0.6,.485,.346,.849,2.8
Anthony Davis,25,20,37.5,28.2,13.0,4.8,1.6,2.7,.505,.360,.813,4.0
Kevin Durant,30,24,35.9,30.0,7.8,6.2,0.9,1.1,.511,.327,.933,4.1
Kyle Lowry,32,23,34.1,15.4,4.5,10.3,1.3,0.3,.454,.358,.826,3.3
Joel Embiid,24,25,34.2,27.0,13.4,3.5,0.5,2.0,.468,.301,.797,3.5
LeBron James,34,23,34.7,27.8,7.7,6.7,1.3,0.9,.520,.366,.711,3.4
Nikola Jokic,23,22,29.5,16.4,9.6,7.2,1.3,0.8,.473,.316,.830,3.0
James Harden,29,19,36.5,30.6,5.7,8.7,2.3,0.6,.443,.372,.828,2.7
Damian Lillard,28,23,35.4,27.0,5.0,6.3,0.8,0.4,.439,.360,.897,3.5
